"No","Title_E","OctetNo","Contents_E","Note_E","Status"
197.00,"Grid definition template 3.90 - space view perspective or orthographic","69-72","Nr - altitude of the camera from the Earth’s centre, measured in units of the Earth’s (equatorial) radius multiplied by a scale factor of 106","(see Notes 4 and 5)#GRIB2_6_0_1_temp.doc#G2_Gdt390n","Operational"
198.00,"Grid definition template 3.90 - space view perspective or orthographic","73-76","Xo - x-coordinate of origin of sector image",,"Operational"
199.00,"Grid definition template 3.90 - space view perspective or orthographic","77-80","Yo - y-coordinate of origin of sector image",,"Operational"
200.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","15","n2 - exponent of 2 for the number of intervals on main triangle sides",,"Operational"
201.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","16","n3 - exponent of 3 for the number of intervals on main triangle sides",,"Operational"
202.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","17-18","ni - number of intervals on main triangle sides of the icosahedron",,"Operational"
203.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","19","nd - number of diamonds",,"Operational"
204.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","20-23","Latitude of the pole point of the icosahedron on the sphere",,"Operational"
205.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","24-27","Longitude of the pole point of the icosahedron on the sphere",,"Operational"
206.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","28-31","Longitude of the centre line of the first diamond of the icosahedron on the sphere",,"Operational"
207.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","32","Grid point position","(see Code table 3.8)#GRIB2_6_0_1_codeflag.doc#G2_CF38","Operational"
208.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","33","Numbering order of diamonds","(flags - see Flag table 3.9)#GRIB2_6_0_1_codeflag.doc#G2_CF39","Operational"
209.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","34","Scanning mode for one diamond","(flags - see Flag table 3.10)#GRIB2_6_0_1_codeflag.doc#G2_CF310","Operational"
210.00,"Grid definition template 3.100 - triangular grid based on an icosahedron (see Attachment, Volume I.2, Part B, Att.GRIB)","35-38","nt - total number of grid points",,"Operational"
211.00,"Grid definition template 3.101 - general unstructured grid","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Validation"
212.00,"Grid definition template 3.101 - general unstructured grid","16-18","Number of grid used (defined by originating centre)",,"Validation"
213.00,"Grid definition template 3.101 - general unstructured grid","19","Number of grid in reference (to allow annotating for Arakawa C-grid on arbitrary grid)","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt3101n","Validation"
214.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Operational"
215.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","16","Scale factor of radius of spherical Earth",,"Operational"
216.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","17-20","Scaled value of radius of spherical Earth",,"Operational"
217.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","21","Scale factor of major axis of oblate spheroid Earth",,"Operational"
218.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","22-25","Scaled value of major axis of oblate spheroid Earth",,"Operational"
219.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","26","Scale factor of minor axis of oblate spheroid Earth",,"Operational"
220.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Operational"
221.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","31-34","Nx - number of points along x-axis",,"Operational"
222.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","35-38","Ny - number of points along y-axis",,"Operational"
223.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","39-42","La1 - latitude of tangency point (centre of grid)",,"Operational"
224.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","43-46","Lo1 - longitude of tangency point",,"Operational"
225.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","47","Resolution and component flags","(see Flag table 3.3)#GRIB2_6_0_1_codeflag.doc#G2_CF33","Operational"
226.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","48-51","Dx - x-direction grid length in units of 10-3 m as measured at the point of the axis",,"Operational"
227.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","52-55","Dy - y-direction grid length in units of 10-3 m as measured at the point of the axis",,"Operational"
228.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","56","Projection centre flag",,"Operational"
229.00,"Grid definition template 3.110 - Equatorial azimuthal equidistant projection","57","Scanning mode","(see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
230.00,"Grid definition template 3.120 - azimuth-range projection","15-18","Nb - number of data bins along radials","(see Note)#GRIB2_6_0_1_temp.doc#G2_Gdt3120n","Operational"
231.00,"Grid definition template 3.120 - azimuth-range projection","19-22","Nr - number of radials",,"Operational"
232.00,"Grid definition template 3.120 - azimuth-range projection","23-26","La1 - latitude of centre point",,"Operational"
233.00,"Grid definition template 3.120 - azimuth-range projection","27-30","Lo1 - longitude of centre point",,"Operational"
234.00,"Grid definition template 3.120 - azimuth-range projection","31-34","Dx - spacing of bins along radials",,"Operational"
235.00,"Grid definition template 3.120 - azimuth-range projection","35-38","Dstart - offset from origin to inner bound",,"Operational"
236.00,"Grid definition template 3.120 - azimuth-range projection","39","Scanning mode","(flags - see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Operational"
237.00,"Grid definition template 3.120 - azimuth-range projection",,"40-(39+4Nr)   For each of Nr radials:",,"Operational"
238.00,"Grid definition template 3.120 - azimuth-range projection","(40+4(X-1))-(41+4(X-1))","Azi - starting azimuth, degrees*10 (degrees as north)",,"Operational"
239.00,"Grid definition template 3.120 - azimuth-range projection","(42+4(X-1))-(43+4(X-1))","Adelta - azimuthal width, degrees*100 (+ clockwise, - counterclockwise), with X = 1 to Nr",,"Operational"
240.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Experimental"
241.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","16","Scale factor of radius of spherical Earth",,"Experimental"
242.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","17-20","Scaled value of radius of spherical Earth",,"Experimental"
243.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","21","Scale factor of major axis of oblate spheroid Earth",,"Experimental"
244.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","22-25","Scaled value of major axis of oblate spheroid Earth",,"Experimental"
245.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","26","Scale factor of minor axis of oblate spheroid Earth",,"Experimental"
246.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","27-30","Scaled value of minor axis of oblate spheroid Earth",,"Experimental"
247.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","31-34","Number of horizontal points",,"Experimental"
248.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","35-38","Basic angle of the initial production domain","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt31000n","Experimental"
249.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","39-42","Subdivisions of basic angle used to define extreme longitudes and latitudes","(see Note)#GRIB2_6_0_1_temp.doc#G2_Gdt31000n","Experimental"
250.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","43-46","La1 - latitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt31000n","Experimental"
251.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","47-50","Lo1 - longitude of first grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt31000n","Experimental"
252.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","51","Scanning mode","(flags - see Flag table 3.4)#GRIB2_6_0_1_codeflag.doc#G2_CF34","Experimental"
253.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","52-55","La2 - latitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt31000n","Experimental"
254.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","56-59","Lo2 - longitude of last grid point","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Gdt31000n","Experimental"
255.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","60","Type of horizontal line","(see Code table 3.20)#GRIB2_6_0_1_codeflag.doc#G2_CF320","Experimental"
256.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","61-62","Number of vertical points",,"Experimental"
257.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","63","Physical meaning of vertical coordinate","(see Code table 3.15)#GRIB2_6_0_1_codeflag.doc#G2_CF315","Experimental"
258.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","64","Vertical dimension coordinate values definition","(see Code table 3.21)#GRIB2_6_0_1_codeflag.doc#G2_CF321","Experimental"
259.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","65-66","NC - number of coefficients or values used to specify vertical coordinates",,"Experimental"
260.00,"Grid definition template 3.1000 - cross-section grid with points equally spaced on the horizontal","67-(66+NC*4)","Coefficients to define vertical dimension coordinate values in functional form, or the explicit coordinate values (IEEE 32-bit floating-point values)",,"Experimental"
261.00,"Grid definition template 3.1100 - Hovmöller diagram grid with points equally spaced on the horizontal","15","Shape of the Earth","(see Code table 3.2)#GRIB2_6_0_1_codeflag.doc#G2_CF32","Experimental"
262.00,"Grid definition template 3.1100 - Hovmöller diagram grid with points equally spaced on the horizontal","16","Scale factor of radius of spherical Earth",,"Experimental"
263.00,"Grid definition template 3.1100 - Hovmöller diagram grid with points equally spaced on the horizontal","17-20","Scaled value of radius of spherical Earth",,"Experimental"
