"No","Code","Agency_E","Type_E","InstrumentShortName_E","InstrumentLongName_E","Status"
27.00,"103","DLR","Radiometer","IGOR","Integrated GPS and Occultation Receiver","Operational"
28.00,"116","DLR","Magnetometer","CHAMP gravity package (Accelerometer+GPS)","STAR accelerometer","Operational"
29.00,"117","DLR","Magnetometer","CHAMP magnetometry package (1 scalar+2 vector magnetometer)","Overhauser magnetometer (OVM) and fluxgate magnetometer (FGM)","Operational"
30.00,"120","ESA","Communications","ENVISAT Comms","Communications package on ENVISAT","Operational"
31.00,"121","ESA","Communications","ERS Comms","Communication package for ERS","Operational"
32.00,"130","ESA","Lidar","ALADIN","Atmospheric laser doppler instrument","Operational"
33.00,"131","ESA","Lidar","ATLID","Atmospheric lidar","Operational"
34.00,"140","ESA","Radar","AMI/SAR/image","Active microwave instrumentation image mode","Operational"
35.00,"141","ESA","Radar","AMI/SAR/wave","Active microwave instrumentation wave mode","Operational"
36.00,"142","ESA","Radar","AMI/scatterometer","Active microwave instrumentation wind mode","Operational"
37.00,"143","ESA","Radar","ASAR","ASAR","Operational"
38.00,"144","ESA","Imaging microwave","ASAR","Advanced synthetic aperture radar (image mode)","Operational"
39.00,"145","ESA","Imaging microwave","ASAR","Advanced synthetic aperture radar (wave mode)","Operational"
40.00,"146","ESA","Cloud profile and rain radar","CPR","Cloud radar","Operational"
41.00,"147","ESA","Radar","RA-2/MWR","Radar altimeter - 2","Operational"
42.00,"148","ESA","Radar","RA/MWR","Radar altimeter","Operational"
43.00,"150","ESA","Scatterometer","SCATTEROMETER","Scatterometer","Operational"
44.00,"161","ESA","Radiometer","MIPAS","Michelson interferometric passive atmosphere sounder","Operational"
45.00,"162","ESA","Imaging multi-spectral radiometer (passive microwave)","MWR-2","Microwave radiometer-2","Operational"
