"No","Title_E","SubTitle_E","CodeFlag","Value","MeaningParameterDescription_E","Note_E","UnitComments_E","Status"
511,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","13",,"Ceiling",,"m","Operational"
512,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","14",,"Non-convective cloud cover",,"%","Operational"
513,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","15",,"Cloud work function",,"J/kg","Operational"
514,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","16",,"Convective cloud efficiency",,"Proportion","Operational"
515,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","17",,"Total condensate",,"kg/kg","Validation (to deprecate)"
516,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","18",,"Total column-integrated cloud water",,"kg m-2","Validation (to deprecate)"
517,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","19",,"Total column-integrated cloud ice",,"kg m-2","Validation (to deprecate)"
518,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","20",,"Total column-integrated condensate",,"kg m-2","Validation (to deprecate)"
519,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","21",,"Ice fraction of total condensate",,"Proportion","Operational"
520,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","22",,"Cloud cover",,"%","Operational"
521,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","23",,"Cloud ice mixing ratio",,"kg/kg","Validation (to deprecate)"
522,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","24",,"Sunshine",,"Numeric","Operational"
523,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","25",,"Horizontal extent of cumulonimbus (CB)",,"%","Operational"
524,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","26",,"Height of convective cloud base",,"m","Validation"
525,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","27",,"Height of convective cloud top",,"m","Validation"
526,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","28",,"Number concentration of cloud droplets",,"/kg","Validation"
527,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","29",,"Number concentration of cloud ice",,"/kg","Validation"
528,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","30",,"Number density of cloud droplets",,"m-3","Validation"
529,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","31",,"Number density of cloud ice",,"m-3","Validation"
530,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","32",,"Fraction of cloud cover",,"Numeric","Operational"
531,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","33",,"Sunshine duration",,"s","Operational"
532,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","34-191",,"Reserved",,,"Operational"
533,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","192-254",,"Reserved for local use",,,"Operational"
534,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 6: cloud","255",,"Missing",,,"Operational"
535,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","0",,"Parcel lifted index (to 500 hPa)",,"K","Operational"
536,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","1",,"Best lifted index (to 500 hPa)",,"K","Operational"
537,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","2",,"K index",,"K","Operational"
538,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","3",,"KO index",,"K","Operational"
539,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","4",,"Total totals index",,"K","Operational"
540,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","5",,"Sweat index",,"Numeric","Operational"
541,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","6",,"Convective available potential energy",,"J/kg","Operational"
542,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","7",,"Convective inhibition",,"J/kg","Operational"
543,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","8",,"Storm relative helicity",,"J/kg","Operational"
544,"Code table 4.2 - Parameter number by product discipline and parameter category","Product discipline 0 - Meteorological products, parameter category 7: thermodynamic stability indices","9",,"Energy helicity index",,"Numeric","Operational"
